source,authors,year,title,doi,page,volume,issue
"Wang, S.-A. and Bai, F.-Y. (2008) ‘Saccharomyces arboricolus sp. nov., a yeast species from tree bark’, INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY, 58(2), pp. 510–514. Available at: https://doi.org/10.1099/ijs.0.65331-0.","Wang, S.-A. and Bai, F.-Y. ",2008,"Saccharomyces arboricolus sp. nov., a yeast species from tree bark",10.1099/ijs.0.65331-0,510–514,58,(2)
"Wang, Y. et al. (2016) ‘Lichen-Associated Fungal Community in Hypogymnia hypotrypa (Parmeliaceae, Ascomycota) Affected by Geographic Distribution and Altitude’, Frontiers in Microbiology, 7. Available at: https://doi.org/10.3389/fmicb.2016.01231.","Wang, Y. et al. ",2016,"Lichen-Associated Fungal Community in Hypogymnia hypotrypa (Parmeliaceae, Ascomycota) Affected by Geographic Distribution and Altitude",10.3389/fmicb.2016.01231,NA,7,NA
"Warren, G.J. et al. (1986) ‘Seasonal variations in copepod size: effects of temperature, food abundance, and vertebrate predation’, Journal of Plankton Research, 8(5), pp. 841–853. Available at: https://doi.org/10.1093/plankt/8.5.841.","Warren, G.J. et al. ",1986,"Seasonal variations in copepod size: effects of temperature, food abundance, and vertebrate predation",10.1093/plankt/8.5.841,841–853,8,(5)
"Warren, P.H. and Lawton, J.H. (1987) ‘Invertebrate predator-prey body size relationships: an explanation for upper triangular food webs and patterns in food web structure?’, Oecologia, 74(2), pp. 231–235. Available at: https://doi.org/10.1007/BF00379364.","Warren, P.H. and Lawton, J.H. ",1987,Invertebrate predator-prey body size relationships: an explanation for upper triangular food webs and patterns in food web structure?,10.1007/BF00379364,231–235,74,(2)
"Wei, D.-P. et al. (2019) ‘The genus Simplicillium’, MycoKeys, 60, pp. 69–92. Available at: https://doi.org/10.3897/mycokeys.60.38040.","Wei, D.-P. et al. ",2019,The genus Simplicillium,10.3897/mycokeys.60.38040,69–92,60,NA
"Weijman, A.C.M. (1979) ‘Carbohydrate composition and taxonomy of Geotrichum, Trichosporon and allied genera’, Antonie van Leeuwenhoek, 45(1), pp. 119–127. Available at: https://doi.org/10.1007/BF00400785.","Weijman, A.C.M. ",1979,"Carbohydrate composition and taxonomy of Geotrichum, Trichosporon and allied genera",10.1007/BF00400785,119–127,45,(1)
"Weisse, T. et al. (2001) ‘Niche separation in common prostome freshwater ciliates: the effect of food and temperature’, Aquatic Microbial Ecology, 26, pp. 167–179. Available at: https://doi.org/10.3354/ame026167.","Weisse, T. et al. ",2001,Niche separation in common prostome freshwater ciliates: the effect of food and temperature,10.3354/ame026167,167–179,26,NA
"Weisse, T. et al. (2002) ‘Interactive effect of temperature and food concentration on growth rate: A test case using the small freshwater ciliate Urotricha farcta’, Limnology and Oceanography, 47(5), pp. 1447–1455. Available at: https://doi.org/10.4319/lo.2002.47.5.1447.","Weisse, T. et al. ",2002,Interactive effect of temperature and food concentration on growth rate: A test case using the small freshwater ciliate Urotricha farcta,10.4319/lo.2002.47.5.1447,1447–1455,47,(5)
"Weisse, T. (2004) ‘Meseres corlissi: a rare oligotrich ciliate adapted to warm water and temporary habitats’, Aquatic Microbial Ecology, 37, pp. 75–83. Available at: https://doi.org/10.3354/ame037075.","Weisse, T. ",2004,Meseres corlissi: a rare oligotrich ciliate adapted to warm water and temporary habitats,10.3354/ame037075,75–83,37,NA
"Weisse, T. et al. (2013a) ‘Bromeliothrix metopoides, a boom and bust ciliate (Ciliophora, Colpodea) from tank bromeliads’, European Journal of Protistology, 49(3), pp. 406–419. Available at: https://doi.org/10.1016/j.ejop.2013.02.001.","Weisse, T. et al. ",2013a,"Bromeliothrix metopoides, a boom and bust ciliate (Ciliophora, Colpodea) from tank bromeliads",10.1016/j.ejop.2013.02.001,406–419,49,(3)
"Weisse, T. et al. (2013b) ‘Functional Ecology of the Ciliate Glaucomides bromelicola , and Comparison with the Sympatric Species Bromeliothrix metopoides’, Journal of Eukaryotic Microbiology, 60(6), pp. 578–587. Available at: https://doi.org/10.1111/jeu.12063.","Weisse, T. et al. ",2013b,"Functional Ecology of the Ciliate Glaucomides bromelicola , and Comparison with the Sympatric Species Bromeliothrix metopoides",10.1111/jeu.12063,578–587,60,(6)
"Weisse, T. et al. (2024) ‘Numerical and Thermal Response of the Bacterivorous Ciliate Colpidium kleini, a Species Potentially at Risk of Extinction by Rising Water Temperatures’, Microbial Ecology, 87(1), p. 89. Available at: https://doi.org/10.1007/s00248-024-02406-y.","Weisse, T. et al. ",2024,"Numerical and Thermal Response of the Bacterivorous Ciliate Colpidium kleini, a Species Potentially at Risk of Extinction by Rising Water Temperatures",10.1007/s00248-024-02406-y,89,87,(1)
"Weisse, T. and Rammer, S. (2006) ‘Pronounced ecophysiological clonal differences of two common freshwater ciliates, Coleps spetai (Prostomatida) and Rimostrombidium lacustris (Oligotrichida), challenge the morphospecies concept’, Journal of Plankton Research, 28(1), pp. 55–63. Available at: https://doi.org/10.1093/plankt/fbi100.","Weisse, T. and Rammer, S. ",2006,"Pronounced ecophysiological clonal differences of two common freshwater ciliates, Coleps spetai (Prostomatida) and Rimostrombidium lacustris (Oligotrichida), challenge the morphospecies concept",10.1093/plankt/fbi100,55–63,28,(1)
"Weisse, T., Scheffel, U. and Stadler, P. (2023a) ‘Functional ecology of planktonic ciliates: Measuring mortality rates in response to starvation’, Journal of Eukaryotic Microbiology, 70(4), p. e12969. Available at: https://doi.org/10.1111/jeu.12969.","Weisse, T., Scheffel, U. and Stadler, P. ",2023a,Functional ecology of planktonic ciliates: Measuring mortality rates in response to starvation,10.1111/jeu.12969,e12969,70,(4)
"Weisse, T., Scheffel, U. and Stadler, P. (2023b) ‘Temperature-dependent resistance to starvation of three contrasting freshwater ciliates’, European Journal of Protistology, 88, p. 125973. Available at: https://doi.org/10.1016/j.ejop.2023.125973.","Weisse, T., Scheffel, U. and Stadler, P. ",2023b,Temperature-dependent resistance to starvation of three contrasting freshwater ciliates,10.1016/j.ejop.2023.125973,125973,88,NA
"Weithoff, G. (2003) ‘The concepts of “plant functional types” and “functional diversity” in lake phytoplankton – a new understanding of phytoplankton ecology?’, Freshwater Biology, 48(9), pp. 1669–1675. Available at: https://doi.org/10.1046/j.1365-2427.2003.01116.x.","Weithoff, G. ",2003,The concepts of “plant functional types” and “functional diversity” in lake phytoplankton – a new understanding of phytoplankton ecology?,10.1046/j.1365-2427.2003.01116.x,1669–1675,48,(9)
"Wellborn, T.L. (1967) ‘Trichodina (Ciliata: Urceolariidae) of Freshwater Fishes of the Southeastern United States*’, The Journal of Protozoology, 14(3), pp. 399–412. Available at: https://doi.org/10.1111/j.1550-7408.1967.tb02017.x.","Wellborn, T.L. ",1967,Trichodina (Ciliata: Urceolariidae) of Freshwater Fishes of the Southeastern United States*,10.1111/j.1550-7408.1967.tb02017.x,399–412,14,(3)
"Wiackowski, K., Brett, M.T. and Goldman, C.R. (1994) ‘Differential effects of zooplankton species on ciliate community structure’, Limnology and Oceanography, 39(3), pp. 486–492. Available at: https://doi.org/10.4319/lo.1994.39.3.0486.","Wiackowski, K., Brett, M.T. and Goldman, C.R. ",1994,Differential effects of zooplankton species on ciliate community structure,10.4319/lo.1994.39.3.0486,486–492,39,(3)
"Wickham, S.A. (1995) ‘Cyclops predation on ciliates: species.specific differences and functional responses’, Journal of Plankton Research, 17(8), pp. 1633–1646. Available at: https://doi.org/10.1093/plankt/17.8.1633.","Wickham, S.A. ",1995,Cyclops predation on ciliates: species.specific differences and functional responses,10.1093/plankt/17.8.1633,1633–1646,17,(8)
"Wickham, S.A. (1998) ‘The direct and indirect impact of Daphnia and Cyclops on a freshwater microbial food web’, Journal of Plankton Research, 20(4), pp. 739–755. Available at: https://doi.org/10.1093/plankt/20.4.739.","Wickham, S.A. ",1998,The direct and indirect impact of Daphnia and Cyclops on a freshwater microbial food web,10.1093/plankt/20.4.739,739–755,20,(4)
"Wijayawardene, N.N. et al. (2016) ‘Taxonomy and phylogeny of dematiaceous coelomycetes’, Fungal Diversity, 77(1), pp. 1–316. Available at: https://doi.org/10.1007/s13225-016-0360-2.","Wijayawardene, N.N. et al. ",2016,Taxonomy and phylogeny of dematiaceous coelomycetes,10.1007/s13225-016-0360-2,1–316,77,(1)
"Williamson, B. et al. (2007) ‘Botrytis cinerea : the cause of grey mould disease’, Molecular Plant Pathology, 8(5), pp. 561–580. Available at: https://doi.org/10.1111/j.1364-3703.2007.00417.x.","Williamson, B. et al. ",2007,Botrytis cinerea : the cause of grey mould disease,10.1111/j.1364-3703.2007.00417.x,561–580,8,(5)
"Woodward, I. and White, R. (1983) ‘Effects of temperature and food on instar development rates of Boeckella symmetrica Sars (Copepoda : Calanoida)’, Marine and Freshwater Research, 34(6), p. 927. Available at: https://doi.org/10.1071/MF9830927.","Woodward, I. and White, R. ",1983,Effects of temperature and food on instar development rates of Boeckella symmetrica Sars (Copepoda : Calanoida),10.1071/MF9830927,927,34,(6)
"Work, K.A. (2003) ‘Zooplankton grazing on bacteria and cyanobacteria in a eutrophic lake’, Journal of Plankton Research, 25(10), pp. 1301–1306. Available at: https://doi.org/10.1093/plankt/fbg092.","Work, K.A. ",2003,Zooplankton grazing on bacteria and cyanobacteria in a eutrophic lake,10.1093/plankt/fbg092,1301–1306,25,(10)
"Wu, W.P. and Sutton, B.C. (1996) ‘A reassessment of some Discosia species’, Mycological Research, 100(3), pp. 287–290. Available at: https://doi.org/10.1016/S0953-7562(96)80155-9.","Wu, W.P. and Sutton, B.C. ",1996,A reassessment of some Discosia species,10.1016/S0953-7562(96)80155-9,287–290,100,(3)
"Wujek, D.E. and Thompson, R.H. (1999) ‘The Algal Genera Chaetopeltis, Oligochaetophora, and Polychaetophora (Chaetopeltidales, Chlorophyta)’, Transactions of the Kansas Academy of Science (1903-), 102(1/2), p. 40. Available at: https://doi.org/10.2307/3628214.","Wujek, D.E. and Thompson, R.H. ",1999,"The Algal Genera Chaetopeltis, Oligochaetophora, and Polychaetophora (Chaetopeltidales, Chlorophyta)",10.2307/3628214,40,102,NA
"Wurtz, A. (1944) ‘Remarques sur une Pleurococcacée: Apatococcus vulgaris Brand’, Bulletin de la Société Botanique de France, 91(7–9), pp. 185–190. Available at: https://doi.org/10.1080/00378941.1944.10834363.","Wurtz, A. ",1944,Remarques sur une Pleurococcacée: Apatococcus vulgaris Brand,10.1080/00378941.1944.10834363,185–190,91,(7–9)
"Wyder, M.-T., Meile, L. and Teuber, M. (1999) ‘Description of Saccharomyces turicensis sp. nov., a new Species from Kefyr’, Systematic and Applied Microbiology, 22(3), pp. 420–425. Available at: https://doi.org/10.1016/S0723-2020(99)80051-4.","Wyder, M.-T., Meile, L. and Teuber, M. ",1999,"Description of Saccharomyces turicensis sp. nov., a new Species from Kefyr",10.1016/S0723-2020(99)80051-4,420–425,22,(3)
"Xia, J.W. et al. (2019) ‘Numbers to names - restyling the Fusarium incarnatum-equiseti species complex’, Persoonia - Molecular Phylogeny and Evolution of Fungi, 43(1), pp. 186–221. Available at: https://doi.org/10.3767/persoonia.2019.43.05.","Xia, J.W. et al. ",2019,Numbers to names - restyling the Fusarium incarnatum-equiseti species complex,10.3767/persoonia.2019.43.05,186–221,43,(1)
"Xiao, M., Li, M. and Reynolds, C.S. (2018) ‘Colony formation in the cyanobacterium Microcystis’, Biological Reviews, 93(3), pp. 1399–1420. Available at: https://doi.org/10.1111/brv.12401.","Xiao, M., Li, M. and Reynolds, C.S. ",2018,Colony formation in the cyanobacterium Microcystis,10.1111/brv.12401,1399–1420,93,(3)
"Xu, Y. et al. (2015) ‘Morphology and Phylogeny of Two Species of Loxodes (Ciliophora, Karyorelictea), with Description of a New Subspecies, Loxodes striatus orientalis subsp. n.’, Journal of Eukaryotic Microbiology, 62(2), pp. 206–216. Available at: https://doi.org/10.1111/jeu.12162.","Xu, Y. et al. ",2015,"Morphology and Phylogeny of Two Species of Loxodes (Ciliophora, Karyorelictea), with Description of a New Subspecies, Loxodes striatus orientalis subsp. n.",10.1111/jeu.12162,206–216,62,(2)
"Yabuki, A. and Ishida, K.-I. (2011) ‘Mataza hastifera n. g., n. sp.: A Possible New Lineage in the Thecofilosea (Cercozoa): MATAZA HASTIFERA N. G., N. SP.’, Journal of Eukaryotic Microbiology, 58(2), pp. 94–102. Available at: https://doi.org/10.1111/j.1550-7408.2010.00524.x.","Yabuki, A. and Ishida, K.-I. ",2011,"Mataza hastifera n. g., n. sp.: A Possible New Lineage in the Thecofilosea (Cercozoa): MATAZA HASTIFERA N. G., N. SP.",10.1111/j.1550-7408.2010.00524.x,94–102,58,(2)
"Yadav, D.R. et al. (2014) ‘First Report of Mortierella alpina (Mortierellaceae, Zygomycota) Isolated from Crop Field Soil in Korea’, Mycobiology, 42(4), pp. 401–404. Available at: https://doi.org/10.5941/MYCO.2014.42.4.401.","Yadav, D.R. et al. ",2014,"First Report of Mortierella alpina (Mortierellaceae, Zygomycota) Isolated from Crop Field Soil in Korea",10.5941/MYCO.2014.42.4.401,401–404,42,(4)
"Yaman, M. and Radek, R. (2021) ‘Characteristic Light and Electron Microscopic Features of Adelina melolonthae, a Coccidian Pathogen of the European Cockchafer, Melolontha melolontha (Coleoptera/Scarabaeidae)’, Acta Parasitologica, 66(3), pp. 925–931. Available at: https://doi.org/10.1007/s11686-021-00363-x.","Yaman, M. and Radek, R. ",2021,"Characteristic Light and Electron Microscopic Features of Adelina melolonthae, a Coccidian Pathogen of the European Cockchafer, Melolontha melolontha (Coleoptera/Scarabaeidae)",10.1007/s11686-021-00363-x,925–931,66,(3)
"Yampolsky, L.Y. and Scheiner, S.M. (1996) ‘Why Larger Offspring at Lower Temperatures? A Demographic Approach’, The American Naturalist, 147(1), pp. 86–100. Available at: https://doi.org/10.1086/285841.","Yampolsky, L.Y. and Scheiner, S.M. ",1996,Why Larger Offspring at Lower Temperatures? A Demographic Approach,10.1086/285841,86–100,147,(1)
"Yang, J. et al. (2015) ‘Factors influencing the grazing response of the marine oligotrichous ciliate Strombidium cf. sulcatum’, Aquatic Microbial Ecology, 74(1), pp. 59–71. Available at: https://doi.org/10.3354/ame01729.","Yang, J. et al. ",2015,Factors influencing the grazing response of the marine oligotrichous ciliate Strombidium cf. sulcatum,10.3354/ame01729,59–71,74,(1)
"Yarrow, D. (1965) ‘Pichia onychis sp.n.’, Antonie van Leeuwenhoek, 31(1), pp. 465–467. Available at: https://doi.org/10.1007/BF02045923.","Yarrow, D. ",1965,Pichia onychis sp.n.,10.1007/BF02045923,465–467,31,(1)
"Yema, L., O’farrell, I. and De Tezanos Pinto, P. (2020) ‘The sediment akinete bank links past and future blooms of Nostocales in a shallow lake’, Journal of Plankton Research. Edited by B.E. Beisner, p. fbaa052. Available at: https://doi.org/10.1093/plankt/fbaa052.","Yema, L., O’farrell, I. and De Tezanos Pinto, P. ",2020,The sediment akinete bank links past and future blooms of Nostocales in a shallow lake,10.1093/plankt/fbaa052,fbaa052,NA,NA
"Yilmaz, N. et al. (2014) ‘Polyphasic taxonomy of the genus Talaromyces’, Studies in Mycology, 78, pp. 175–341. Available at: https://doi.org/10.1016/j.simyco.2014.08.001.","Yilmaz, N. et al. ",2014,Polyphasic taxonomy of the genus Talaromyces,10.1016/j.simyco.2014.08.001,175–341,78,NA
"Yoo, Y.D. et al. (2013) ‘Growth and ingestion rates of heterotrophic dinoflagellates and a ciliate on the mixotrophic dinoflagellate Biecheleria cincta’, ALGAE, 28(4), pp. 343–354. Available at: https://doi.org/10.4490/algae.2013.28.4.343.","Yoo, Y.D. et al. ",2013,Growth and ingestion rates of heterotrophic dinoflagellates and a ciliate on the mixotrophic dinoflagellate Biecheleria cincta,10.4490/algae.2013.28.4.343,343–354,28,(4)
"Yu, J., Tian, J.-Y. and Yang, G.-P. (2015) ‘Effects of Harpacticus sp. (Harpacticoida, copepod) grazing on dimethylsulfoniopropionate and dimethylsulfide concentrations in seawater’, Journal of Sea Research, 99, pp. 17–25. Available at: https://doi.org/10.1016/j.seares.2015.01.004.","Yu, J., Tian, J.-Y. and Yang, G.-P. ",2015,"Effects of Harpacticus sp. (Harpacticoida, copepod) grazing on dimethylsulfoniopropionate and dimethylsulfide concentrations in seawater",10.1016/j.seares.2015.01.004,17–25,99,NA
"Zagarese, H.E. et al. (2000) ‘Mountain lakes in northwestern Patagonia’, SIL Proceedings, 1922-2010, 27(1), pp. 533–538. Available at: https://doi.org/10.1080/03680770.1998.11901290.","Zagarese, H.E. et al. ",2000,Mountain lakes in northwestern Patagonia,10.1080/03680770.1998.11901290,533–538,1922,NA
